"variable","data_type","non_missing_n","unique_n"
"Q8","character",85,6
"lmic","character",81,4
"Progress","integer",97,7
"Q3_national","character",68,1
"Q3_sub_national","character",48,1
"Q3_field","character",50,1
"Q1","character",97,6
"Q2","character",97,2
"Q7_1","character",19,1
"Q7_2","character",28,1
"Q7_3","character",67,1
"Q7_5","character",42,1
"Q7_6","character",26,1
"Q9","character",97,2
"Q11","character",97,2
"Q12_1","character",51,1
"Q12_3","character",64,1
"Q12_4","character",52,1
"Q12_5","character",27,1
"Q12_6","character",27,1
"Q12_7","character",28,1
"Q13_1","character",40,1
"Q13_2","character",44,1
"Q13_6","character",54,1
"Q13_4","character",22,1
"Q13_3","character",45,1
"Q13_5","character",37,1
"Q13_7","character",46,1
"Q13_9","character",4,1
"Q14_1","character",29,1
"Q14_2","character",37,1
"Q14_6","character",53,1
"Q14_4","character",11,1
"Q14_3","character",51,1
"Q14_5","character",52,1
"Q14_7","character",38,1
"Q14_9","character",6,1
"Q15","character",74,2
"Q16_1","character",61,1
"Q16_2","character",41,1
"Q16_3","character",40,1
"Q16_6","character",46,1
"Q16_7","character",53,1
"Q16_8","character",60,1
"Q16_9","character",51,1
"Q16_10","character",33,1
"Q16_11","character",46,1
"Q16_12","character",34,1
"Q16_13","character",59,1
"Q16_14","character",8,1
"Q25_1","character",8,1
